"~start_node_id","~start_node_labels","~start_node_property_name","~relationship_type","~end_node_id","~end_node_labels","~end_node_property_name","~end_node_property_score","~end_node_property_description","~start_node_property_scf_id","~start_node_property_strength","~start_node_property_description"
"14","Security_Awareness_and_Training","Security Awareness and Training","PART_OF","5","Assurance","Assurance",,,,,
"2","SecurityOperations","SecurityOperations","REPORTS_TO","6","CyberSecurityScore",,0,"Starting point",,,
"3","AssetManagement","AssetManagement","REPORTS_TO","6","CyberSecurityScore",,0,"Starting point",,,
"15","Policy","Asset Governance ","CONTRIBUTES_WEIGHT_TO","7","Asset_Management_Policies","Asset Management Policies",,,"AST-01",10,"Mechanisms exist to facilitate an IT Asset Management (ITAM) program to implement and manage asset management controls."
"4","ChangeManagement","ChangeManagement","REPORTS_TO","6","CyberSecurityScore",,0,"Starting point",,,
"5","Assurance","Assurance","REPORTS_TO","6","CyberSecurityScore",,0,"Starting point",,,
"16","Compliance","Compliance","PART_OF","5","Assurance","Assurance",,,,,
"7","Asset_Management_Policies","Asset Management Policies","PART_OF","3","AssetManagement","AssetManagement",,,,,
"8","AssetsList","Assets List","PART_OF","3","AssetManagement","AssetManagement",,,,,
"9","Capacity_And_Performance_Planning","Capacity and Performance Planning","PART_OF","3","AssetManagement","AssetManagement",,,,,
"10","Configuration_Management","Configuration Management","PART_OF","3","AssetManagement","AssetManagement",,,,,
"11","Mobile_Device_Management","Mobile Device Management","PART_OF","3","AssetManagement","AssetManagement",,,,,
"17","Security_Awareness_and_Training","Security Awareness and Training","PART_OF","5","Assurance","Assurance",,,,,
"12","Assurance_Policies","Assurance Policies","PART_OF","5","Assurance","Assurance",,,,,
"13","Compliance","Compliance","PART_OF","5","Assurance","Assurance",,,,,
"18","Emerging_Technologies_Policies","Emerging Technologies Policies","PART_OF","0","EmergingTechnologies","EmergingTechnologies",,,,,
"0","EmergingTechnologies","EmergingTechnologies","REPORTS_TO","6","CyberSecurityScore",,0,"Starting point",,,
"1","Governance","Governance","REPORTS_TO","6","CyberSecurityScore",,0,"Starting point",,,
"139","Policy","Cybersecurity & Data Protection Governance Program ","CONTRIBUTES_WEIGHT_TO","19","Governance_Policies","Governance Policies",,,"GOV-01",10,"Mechanisms exist to facilitate the implementation of cybersecurity & data protection governance controls."
"20","Security_Operations_Policies","Security Operations Policies","PART_OF","2","SecurityOperations","SecurityOperations",,,,,
"21","Data_Protection","Data Protection","PART_OF","2","SecurityOperations","SecurityOperations",,,,,
"22","Embdded_Technologies","Embdded Technologies","PART_OF","2","SecurityOperations","SecurityOperations",,,,,
"23","Infracstructure_and_Identity_Management","Infracstructure and Identity Management","PART_OF","2","SecurityOperations","SecurityOperations",,,,,
"24","Threat_Management","Threat Management","PART_OF","2","SecurityOperations","SecurityOperations",,,,,
"25","Vulnerability_and_Web_Management","Vulnerability and Web Management","PART_OF","2","SecurityOperations","SecurityOperations",,,,,
"26","Change_Management_Policies","Change Management Policies","PART_OF","4","ChangeManagement","ChangeManagement",,,,,
"27","Risk_Management","Risk Management ","PART_OF","4","ChangeManagement","ChangeManagement",,,,,
"28","Secure_Engineering_and_Architecture","Secure Engineering and Architecture","PART_OF","4","ChangeManagement","ChangeManagement",,,,,
"29","Technology_Development_and_Acquistion","Technology Development and Acquistion","PART_OF","4","ChangeManagement","ChangeManagement",,,,,
"30","Third_Party_Management","Third Party Management","PART_OF","4","ChangeManagement","ChangeManagement",,,,,
"1","Governance","Governance","DEFINE_POLICY","18","Emerging_Technologies_Policies","Emerging Technologies Policies",,,,,
