"~id","~labels","name","score","description","scf_id","strength"
"0","EmergingTechnologies","EmergingTechnologies",,,,
"1","Governance","Governance",,,,
"2","SecurityOperations","SecurityOperations",,,,
"3","AssetManagement","AssetManagement",,,,
"4","ChangeManagement","ChangeManagement",,,,
"5","Assurance","Assurance",,,,
"6","CyberSecurityScore",,0,"Starting point",,
"7","Asset_Management_Policies","Asset Management Policies",,,,
"8","AssetsList","Assets List",,,,
"9","Capacity_And_Performance_Planning","Capacity and Performance Planning",,,,
"10","Configuration_Management","Configuration Management",,,,
"11","Mobile_Device_Management","Mobile Device Management",,,,
"12","Assurance_Policies","Assurance Policies",,,,
"13","Compliance","Compliance",,,,
"14","Security_Awareness_and_Training","Security Awareness and Training",,,,
"15","Policy","Asset Governance ",,"Mechanisms exist to facilitate an IT Asset Management (ITAM) program to implement and manage asset management controls.","AST-01",10
"16","Compliance","Compliance",,,,
"17","Security_Awareness_and_Training","Security Awareness and Training",,,,
"18","Emerging_Technologies_Policies","Emerging Technologies Policies",,,,
"19","Governance_Policies","Governance Policies",,,,
"20","Security_Operations_Policies","Security Operations Policies",,,,
"21","Data_Protection","Data Protection",,,,
"22","Embdded_Technologies","Embdded Technologies",,,,
"23","Infracstructure_and_Identity_Management","Infracstructure and Identity Management",,,,
"24","Threat_Management","Threat Management",,,,
"25","Vulnerability_and_Web_Management","Vulnerability and Web Management",,,,
"26","Change_Management_Policies","Change Management Policies",,,,
"27","Risk_Management","Risk Management ",,,,
"28","Secure_Engineering_and_Architecture","Secure Engineering and Architecture",,,,
"29","Technology_Development_and_Acquistion","Technology Development and Acquistion",,,,
"30","Third_Party_Management","Third Party Management",,,,
"39","Policy","Asset-Service Dependencies",,"Mechanisms exist to identify and assess the security of technology assets that support more than one critical business function. ","AST-01.1",5
"40","Policy","Stakeholder Identification & Involvement",,"Mechanisms exist to identify and involve pertinent stakeholders of critical systems, applications and services to support the ongoing secure management of those assets.","AST-01.2",5
"41","Policy","Standardized Naming Convention",,"Mechanisms exist to implement a scalable, standardized naming convention for systems, applications and services that avoids asset naming conflicts.","AST-01.3",5
"42","Policy","Asset Inventories ",,"Mechanisms exist to perform inventories of technology assets that:  ▪ Accurately reflects the current systems, applications and services in use;   ▪ Identifies authorized software products, including business justification details;  ▪ Is at the level of granularity deemed necessary for tracking and reporting;  ▪ Includes organization-defined information deemed necessary to achieve effective property accountability; and  ▪ Is available for review and audit by designated organizational personnel.","AST-02",10
"43","Policy","Updates During Installations / Removals",,"Mechanisms exist to update asset inventories as part of component installations, removals and asset upgrades. ","AST-02.1",7
"44","Policy","Automated Unauthorized Component Detection",,"Automated mechanisms exist to detect and alert upon the detection of unauthorized hardware, software and firmware components.","AST-02.2",3
"45","Policy","Component Duplication Avoidance ",,"Mechanisms exist to establish and maintain an authoritative source and repository to provide a trusted source and accountability for approved and implemented system components that prevents assets from being duplicated in other asset inventories.","AST-02.3",2
"46","Policy","Approved Baseline Deviations",,"Mechanisms exist to document and govern instances of approved deviations from established baseline configurations. ","AST-02.4",8
"47","Policy","Network Access Control (NAC)",,"Automated mechanisms exist to employ Network Access Control (NAC), or a similar technology, that is capable of detecting unauthorized devices and disable network access to those unauthorized devices.","AST-02.5",4
"48","Policy","Dynamic Host Configuration Protocol (DHCP) Server Logging",,"Mechanisms exist to enable Dynamic Host Configuration Protocol (DHCP) server logging to improve asset inventories and assist in detecting unknown systems. ","AST-02.6",3
"49","Policy","Software Licensing Restrictions",,"Mechanisms exist to protect Intellectual Property (IP) rights with software licensing restrictions. ","AST-02.7",8
"50","Policy","Data Action Mapping",,"Mechanisms exist to create and maintain a map of technology assets where sensitive/regulated data is stored, transmitted or processed.","AST-02.8",9
"51","Policy","Configuration Management Database (CMDB)",,"Mechanisms exist to implement and manage a Configuration Management Database (CMDB), or similar technology, to monitor and govern technology asset-specific information.","AST-02.9",5
"52","Policy","Automated Location Tracking",,"Mechanisms exist to track the geographic location of system components.","AST-02.10",5
"53","Policy","Component Assignment",,"Mechanisms exist to bind components to a specific system.","AST-02.11",3
